raw_x,raw_y,raw_z,raw_yaw,filt_x,filt_y,filt_z,filt_yaw
2.21782,-0.250943,0.369393,-1.6092,2.20112,-0.249213,0.366741,-1.64958
2.16534,-0.26064,0.360743,-1.60875,2.17932,-0.262465,0.363234,-1.64411
2.19388,-0.282648,0.365833,-1.60388,2.18997,-0.281646,0.365218,-1.63826
2.18552,-0.303693,0.365037,-1.58638,2.18772,-0.302747,0.365336,-1.63016
2.22493,-0.328962,0.372329,-1.57341,2.21675,-0.32753,0.370879,-1.62074
2.25523,-0.350041,0.375726,-1.57553,2.25064,-0.350117,0.375443,-1.61249
2.256,-0.366485,0.375674,-1.5619,2.261,-0.367902,0.37656,-1.60293
2.34414,-0.397713,0.39254,-1.54128,2.32934,-0.395446,0.389477,-1.59111
2.43131,-0.42812,0.403083,-1.5552,2.4193,-0.426284,0.402002,-1.58265
2.56134,-0.471037,0.417876,1.67125,2.54604,-0.467363,0.416798,-1.56197
2.66284,-0.50597,0.440742,-1.53064,2.66044,-0.505413,0.438366,-1.55266
2.78303,-0.545828,0.458858,-1.50423,2.78047,-0.54513,0.45838,-1.54042
3.06956,-0.618592,0.504602,-1.49749,3.03089,-0.610817,0.498583,-1.52856
3.20348,-0.659702,0.522706,-1.47493,3.20923,-0.661117,0.52449,-1.51463
3.6876,-0.0677546,0.587101,-1.77301,3.62209,-0.212452,0.579414,-1.54859
3.52397,-0.0788718,0.565425,-1.74306,3.61869,-0.0520098,0.578546,-1.57556
3.11372,-0.0833626,0.503337,-1.73996,3.25479,-0.0322501,0.523968,-1.60004
2.99753,-0.0975392,0.485466,-1.76228,3.01629,-0.0630186,0.488102,-1.626
